label,hashtags
tourism ,"tourism,travel,travelgram,tourist,travelphotography,nature,photography,vacation,instatravel,trip,adventure"
fashion,"fashion,photography,love,girls,model"
information,"information,fact,news,knowledge,education ,technology,model,software,computer,info,data,security"
vehicle,"vehicle,car,bus,toll,payment,highway,cars,event,air"
foodie,"foodie,food,lunch,yummy,chef,eat,love,yum,tasty"
food,"taste,food,dinner",
bollywood,"fashion,photography,love,movie,model,marvel,black,color"
